,Id,POITypeId,POIName_de,address_city,address_kantoncode,address_zip,address_countrycode,address_street,address_gemeindeid,geopoint,poityp_de
76477,003BE_00332188,003BE,"Briefeinwurf Zürich, Bahnhof Oerlikon",Zürich,ZH,8050,CH,Hofwiesenstrasse 369,261,"47.41122631,8.54422528",Briefeinwurf
76478,003BE_00332189,003BE,"Briefeinwurf Zürich, Bushaltestelle Dorflinde",Zürich,ZH,8050,CH,Dorflindenstrasse 2,261,"47.40755089,8.54901442",Briefeinwurf
76479,003BE_00332191,003BE,"Briefeinwurf Zürich, Gubelstrasse",Zürich,ZH,8050,CH,Gubelstrasse 10,261,"47.4077721,8.5455515",Briefeinwurf
76480,003BE_00332192,003BE,"Briefeinwurf Zürich, Herbstweg",Zürich,ZH,8050,CH,Herbstweg 77,261,"47.40645573,8.56292901",Briefeinwurf
76482,003BE_00332200,003BE,"Briefeinwurf Zürich, Luegislandstrasse",Zürich,ZH,8051,CH,Luegislandstrasse 334,261,"47.40865865,8.57534598",Briefeinwurf
76483,003BE_00332203,003BE,"Briefeinwurf Zürich, Buchholzrain",Zürich,ZH,8052,CH,Buchholzrain 1,261,"47.42739287,8.54378139",Briefeinwurf
76484,003BE_00332206,003BE,"Briefeinwurf Zürich, Bushaltestelle Käshaldenstrasse",Zürich,ZH,8052,CH,Rümlangstrasse 73,261,"47.43009236,8.5407568",Briefeinwurf
76560,003BE_00331504,003BE,"Briefeinwurf Zürich, Einkaufszentrum Sihlcity",Zürich,ZH,8045,CH,Kalanderplatz 6,261,"47.35817044,8.52294475",Briefeinwurf
76591,003BE_00332286,003BE,"Briefeinwurf Zürich, Dreikönigstrasse",Zürich,ZH,8002,CH,Dreikönigstrasse 21,261,"47.3668995,8.53635942",Briefeinwurf
83245,003BE_00329532,003BE,"Briefeinwurf Zürich, Gloriastrasse",Zürich,ZH,8006,CH,Gloriastrasse 35,261,"47.37739575,8.55310743",Briefeinwurf
83246,003BE_00329534,003BE,"Briefeinwurf Zürich, Zürichbergstrasse",Zürich,ZH,8044,CH,Zürichbergstrasse 42,261,"47.37430282,8.55649888",Briefeinwurf
83248,003BE_00329538,003BE,"Briefeinwurf Zürich, Tramhaltestelle Hölderlinstrasse",Zürich,ZH,8032,CH,Asylstrasse 100,261,"47.36593858,8.56238998",Briefeinwurf
83249,003BE_00329540,003BE,"Briefeinwurf Zürich, Asylstrasse",Zürich,ZH,8032,CH,Asylstrasse 130,261,"47.36492992,8.56500602",Briefeinwurf
83251,003BE_00329542,003BE,"Briefeinwurf Zürich, Tram-/Bushaltestelle Klusplatz",Zürich,ZH,8032,CH,Witikonerstrasse 15,261,"47.36413498,8.56645614",Briefeinwurf
83252,003BE_00329553,003BE,"Briefeinwurf Zürich, Tramhaltestelle Römerhof",Zürich,ZH,8032,CH,Römerhofplatz 5,261,"47.3680794,8.56054439",Briefeinwurf
83253,003BE_00329556,003BE,"Briefeinwurf Zürich, BE Tramhaltestelle Kunsthaus",Zürich,ZH,8001,CH,Heimplatz 6,261,"47.37052727,8.54887777",Briefeinwurf
83288,003BE_00329584,003BE,"Briefeinwurf Zürich, Ecke Hegibachstrasse",Zürich,ZH,8032,CH,Freiestrasse 162,261,"47.3629449,8.56322848",Briefeinwurf
83289,003BE_00329586,003BE,"Briefeinwurf Zürich, Alters- & Pflegewohnheim Neumünster",Zürich,ZH,8032,CH,Minervastrasse 144,261,"47.36271805,8.55972995",Briefeinwurf
83290,003BE_00329594,003BE,"Briefeinwurf Zürich, An der Specki",Zürich,ZH,8053,CH,An der Specki 2,261,"47.36262545,8.59314696",Briefeinwurf
83308,003BE_00329596,003BE,"Briefeinwurf Zürich, Buchholzstrasse",Zürich,ZH,8053,CH,Buchholzstrasse 125,261,"47.36109062,8.58956448",Briefeinwurf
83309,003BE_00329598,003BE,"Briefeinwurf Zürich, Bushaltestelle Kienastenwies",Zürich,ZH,8053,CH,Trichtenhausenstrasse 126,261,"47.35507263,8.60107399",Briefeinwurf
83310,003BE_00329603,003BE,"Briefeinwurf Zürich, Pflegezentrum Riesbach",Zürich,ZH,8008,CH,Witellikerstrasse 19,261,"47.35224604,8.57653308",Briefeinwurf
83311,003BE_00329608,003BE,"Briefeinwurf Zürich, Kreuzplatz",Zürich,ZH,8008,CH,Kreuzplatz 20,261,"47.36491755,8.55413752",Briefeinwurf
83312,003BE_00329614,003BE,"Briefeinwurf Zürich, Seefeldstrasse",Zürich,ZH,8008,CH,Seefeldstrasse 299,261,"47.34750013,8.56450965",Briefeinwurf
